"id","year","month","state_name","state_code","assembly_no","ac_name","ac_type","candidate_name","sex","age","candidate_type","party","position","ac_total_candidates","total_electors","total_votes","total_valid_votes","vote_share_percentage","margin","margin_percentage","turnout_percentage","poll_no","delimit_id"
24332,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Kishor Yadav","MALE",27.0,"GEN","LJP",3.0,10.0,244826.0,21464.0,131565.0,16.31,18540.0,14.09,53.74,0.0,4.0
24333,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Lalit Sada","MALE",31.0,"GEN","IND",4.0,10.0,244826.0,2924.0,131565.0,2.22,868.0,0.66,53.74,0.0,4.0
24334,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Hari Nandan Singh","MALE",62.0,"GEN","SJP(R)",5.0,10.0,244826.0,2056.0,131565.0,1.56,238.0,0.18,53.74,0.0,4.0
24335,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Raj Kumar Choudhary","MALE",41.0,"GEN","CPI(ML)(L)",6.0,10.0,244826.0,1818.0,131565.0,1.38,104.0,0.08,53.74,0.0,4.0
24336,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Ganeshi Ram","MALE",65.0,"GEN","BSP",7.0,10.0,244826.0,1714.0,131565.0,1.3,39.0,0.03,53.74,0.0,4.0
24337,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Poonam Devi","FEMALE",29.0,"GEN","IND",8.0,10.0,244826.0,1675.0,131565.0,1.27,64.0,0.05,53.74,0.0,4.0
24338,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Asha Devi","FEMALE",34.0,"GEN","IND",9.0,10.0,244826.0,1611.0,131565.0,1.22,426.0,0.32,53.74,0.0,4.0
24339,"2010","11","Bihar","10",15.0,"Simri Bakhtiarpur","GEN","Gopal Krishna","MALE",34.0,"GEN","IND",10.0,10.0,244826.0,1185.0,131565.0,0.9,0.0,0.0,53.74,0.0,4.0
24340,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Dinesh Chandra Yadav","MALE",63.0,"GEN","JD(U)",1.0,14.0,304299.0,78514.0,165233.0,47.52,37806.0,22.88,54.3,0.0,4.0
24341,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Yusuf Salahuddin","MALE",33.0,"GEN","LJP",2.0,14.0,304299.0,40708.0,165233.0,24.64,30861.0,18.68,54.3,0.0,4.0
24342,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Ritesh Ranjan","MALE",35.0,"GEN","IND",3.0,14.0,304299.0,9847.0,165233.0,5.96,2246.0,1.36,54.3,0.0,4.0
24343,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Nota","None","","GEN","NOTA",4.0,14.0,304299.0,7601.0,165233.0,4.6,758.0,0.46,54.3,0.0,4.0
24344,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Ganesh Mukhiya Nishad","MALE",34.0,"GEN","SKLP",5.0,14.0,304299.0,6843.0,165233.0,4.14,3077.0,1.86,54.3,0.0,4.0
24345,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Yaduvansh Roy","MALE",52.0,"GEN","IND",6.0,14.0,304299.0,3766.0,165233.0,2.28,49.0,0.03,54.3,0.0,4.0
24346,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Dinesh Kumar Choudhary","MALE",36.0,"GEN","JMM",7.0,14.0,304299.0,3717.0,165233.0,2.25,12.0,0.01,54.3,0.0,4.0
24347,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Arbind Kumar Singh","MALE",52.0,"GEN","IND",8.0,14.0,304299.0,3705.0,165233.0,2.24,1415.0,0.86,54.3,0.0,4.0
24348,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Upendra Yadav","MALE",47.0,"GEN","IND",9.0,14.0,304299.0,2290.0,165233.0,1.39,465.0,0.28,54.3,0.0,4.0
24349,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Dharamavir Yadav","MALE",32.0,"GEN","JAPL",10.0,14.0,304299.0,1825.0,165233.0,1.1,63.0,0.04,54.3,0.0,4.0
24350,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Binod Paswan","MALE",36.0,"GEN","BSP",11.0,14.0,304299.0,1762.0,165233.0,1.07,159.0,0.1,54.3,0.0,4.0
24351,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Arvind Kumar","MALE",28.0,"GEN","IND",12.0,14.0,304299.0,1603.0,165233.0,0.97,326.0,0.2,54.3,0.0,4.0
24352,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Umesh Chandra Bharti","MALE",55.0,"GEN","ABMP",13.0,14.0,304299.0,1277.0,165233.0,0.77,340.0,0.21,54.3,0.0,4.0
24353,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Sanjay Singh Chauhan","MALE",45.0,"GEN","CPI(ML)(L)",14.0,14.0,304299.0,937.0,165233.0,0.57,99.0,0.06,54.3,0.0,4.0
24354,"2015","11","Bihar","10",16.0,"Simri Bakhtiarpur","GEN","Sri Kant Poddar","MALE",39.0,"GEN","RVNP",15.0,14.0,304299.0,838.0,165233.0,0.51,0.0,0.0,54.3,0.0,4.0
24355,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Yusuf Salahuddin","MALE",37.0,"GEN","RJD",1.0,23.0,338615.0,75684.0,196700.0,38.48,1759.0,0.89,58.09,0.0,4.0
24356,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Mukesh Sahani","MALE",41.0,"GEN","VSIP",2.0,23.0,338615.0,73925.0,196700.0,37.58,66963.0,34.04,58.09,0.0,4.0
24357,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Sanjay Kumar Singh","MALE",48.0,"GEN","LJP",3.0,23.0,338615.0,6962.0,196700.0,3.54,1666.0,0.85,58.09,0.0,4.0
24358,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Umesh Chandra Bharti","MALE",59.0,"GEN","AMiP",4.0,23.0,338615.0,5296.0,196700.0,2.69,544.0,0.28,58.09,0.0,4.0
24359,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Khagesh Kumar Sah","MALE",29.0,"GEN","IND",5.0,23.0,338615.0,4752.0,196700.0,2.42,740.0,0.38,58.09,0.0,4.0
24360,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Zafar Alam","MALE",63.0,"GEN","JAPL",6.0,23.0,338615.0,4012.0,196700.0,2.04,1172.0,0.6,58.09,0.0,4.0
24361,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Ritesh Ranjan","MALE",40.0,"GEN","IND",7.0,23.0,338615.0,2840.0,196700.0,1.44,205.0,0.1,58.09,0.0,4.0
24362,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Domi Sharma","MALE",49.0,"GEN","IND",8.0,23.0,338615.0,2635.0,196700.0,1.34,274.0,0.14,58.09,0.0,4.0
24363,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Sulendra Das","MALE",36.0,"GEN","IND",9.0,23.0,338615.0,2361.0,196700.0,1.2,101.0,0.05,58.09,0.0,4.0
24364,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Dhirendra Choudhary","MALE",39.0,"GEN","AAM",10.0,23.0,338615.0,2260.0,196700.0,1.15,101.0,0.05,58.09,0.0,4.0
24365,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Rajesh Kumar","MALE",52.0,"GEN","LPSP",11.0,23.0,338615.0,2159.0,196700.0,1.1,22.0,0.01,58.09,0.0,4.0
24366,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Pintu Sharma","MALE",36.0,"GEN","LJPS",12.0,23.0,338615.0,2137.0,196700.0,1.09,433.0,0.22,58.09,0.0,4.0
24367,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Sundaram","MALE",26.0,"GEN","RPIA",13.0,23.0,338615.0,1704.0,196700.0,0.87,35.0,0.02,58.09,0.0,4.0
24368,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Upendra Yadav","MALE",52.0,"GEN","IND",14.0,23.0,338615.0,1669.0,196700.0,0.85,124.0,0.06,58.09,0.0,4.0
24369,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Paras Paswan","MALE",35.0,"GEN","BMUP",15.0,23.0,338615.0,1545.0,196700.0,0.79,138.0,0.07,58.09,0.0,4.0
24370,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Nota","None","","GEN","NOTA",16.0,23.0,338615.0,1407.0,196700.0,0.72,163.0,0.08,58.09,0.0,4.0
24371,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Hashim","MALE",25.0,"GEN","SAMDAL",17.0,23.0,338615.0,1244.0,196700.0,0.63,295.0,0.15,58.09,0.0,4.0
24372,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Vinay Kumar Mishra","MALE",40.0,"GEN","NCP",18.0,23.0,338615.0,949.0,196700.0,0.48,37.0,0.02,58.09,0.0,4.0
24373,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Upendra Sahani","MALE",49.0,"GEN","RJBP",19.0,23.0,338615.0,912.0,196700.0,0.46,131.0,0.07,58.09,0.0,4.0
24374,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Sona Kumar","MALE",31.0,"GEN","BSP",20.0,23.0,338615.0,781.0,196700.0,0.4,235.0,0.12,58.09,0.0,4.0
24375,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Tarun Kumar Jha","MALE",30.0,"GEN","IND",21.0,23.0,338615.0,546.0,196700.0,0.28,67.0,0.03,58.09,0.0,4.0
24376,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Bandan Kumar Singh","MALE",28.0,"GEN","IND",22.0,23.0,338615.0,479.0,196700.0,0.24,38.0,0.02,58.09,0.0,4.0
24377,"2020","11","Bihar","10",17.0,"Simri Bakhtiarpur","GEN","Yogavir Roy","MALE",32.0,"GEN","IND",23.0,23.0,338615.0,441.0,196700.0,0.22,0.0,0.0,58.09,0.0,4.0
24378,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Ramesh Rishidev","MALE",40.0,"SC","JD(U)",1.0,7.0,245479.0,72282.0,145296.0,49.75,15196.0,10.46,59.19,0.0,4.0
24379,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Amit Kumar Bharti","MALE",40.0,"SC","RJD",2.0,7.0,245479.0,57086.0,145296.0,39.29,51117.0,35.18,59.19,0.0,4.0
24380,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Ganesh Paswan","MALE",64.0,"SC","INC",3.0,7.0,245479.0,5969.0,145296.0,4.11,2742.0,1.89,59.19,0.0,4.0
24381,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Indo Devi","FEMALE",29.0,"SC","SAP",4.0,7.0,245479.0,3227.0,145296.0,2.22,194.0,0.13,59.19,0.0,4.0
24382,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Dinesh Kumar Paswan","MALE",31.0,"SC","RSWD",5.0,7.0,245479.0,3033.0,145296.0,2.09,1173.0,0.81,59.19,0.0,4.0
24383,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Rajendra Rajak","MALE",33.0,"SC","BSP",6.0,7.0,245479.0,1860.0,145296.0,1.28,21.0,0.01,59.19,0.0,4.0
24384,"2010","11","Bihar","10",15.0,"Singheshwar","SC","Chandra Bhusan Paswan","MALE",54.0,"SC","JKM",7.0,7.0,245479.0,1839.0,145296.0,1.27,0.0,0.0,59.19,0.0,4.0
24385,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Ramesh Rishidev","MALE",45.0,"SC","JD(U)",1.0,12.0,285954.0,83073.0,167982.0,49.45,50200.0,29.88,58.74,0.0,4.0
24386,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Manju Devi","FEMALE",35.0,"SC","HAMS",2.0,12.0,285954.0,32873.0,167982.0,19.57,17767.0,10.58,58.74,0.0,4.0
24387,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Amit Kumar Bharti","MALE",49.0,"SC","JAPL",3.0,12.0,285954.0,15106.0,167982.0,8.99,8178.0,4.87,58.74,0.0,4.0
24388,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Nota","None","","SC","NOTA",4.0,12.0,285954.0,6928.0,167982.0,4.12,4.0,0.0,58.74,0.0,4.0
24389,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Rajkishor Sardar","MALE",57.0,"SC","CPM",5.0,12.0,285954.0,6924.0,167982.0,4.12,2826.0,1.68,58.74,0.0,4.0
24390,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Indo Devi","FEMALE",30.0,"SC","BSP",6.0,12.0,285954.0,4098.0,167982.0,2.44,600.0,0.36,58.74,0.0,4.0
24391,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Jagdev Ram","MALE",63.0,"SC","IND",7.0,12.0,285954.0,3498.0,167982.0,2.08,278.0,0.17,58.74,0.0,4.0
24392,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Lalan Paswan","MALE",60.0,"SC","JDR",8.0,12.0,285954.0,3220.0,167982.0,1.92,172.0,0.1,58.74,0.0,4.0
24393,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Achhe Lal Sharma","MALE",53.0,"SC","IND",9.0,12.0,285954.0,3048.0,167982.0,1.81,281.0,0.17,58.74,0.0,4.0
24394,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Sanjay Paswan","MALE",27.0,"SC","BJKD",10.0,12.0,285954.0,2767.0,167982.0,1.65,184.0,0.11,58.74,0.0,4.0
24395,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Agamlal Rishidev","MALE",33.0,"SC","IND",11.0,12.0,285954.0,2583.0,167982.0,1.54,503.0,0.3,58.74,0.0,4.0
24396,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Dinesh Rishi Dev","MALE",45.0,"SC","TNRMPI",12.0,12.0,285954.0,2080.0,167982.0,1.24,296.0,0.18,58.74,0.0,4.0
24397,"2015","11","Bihar","10",16.0,"Singheshwar","SC","Upendra Ram","MALE",56.0,"SC","GJDS",13.0,12.0,285954.0,1784.0,167982.0,1.06,0.0,0.0,58.74,0.0,4.0
24398,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Chandrahas Chaupal","MALE",44.0,"SC","RJD",1.0,11.0,310531.0,86181.0,190950.0,45.13,5573.0,2.92,61.49,0.0,4.0
24399,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Ramesh Rishidev","MALE",50.0,"SC","JD(U)",2.0,11.0,310531.0,80608.0,190950.0,42.21,75001.0,39.28,61.49,0.0,4.0
24400,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Amit Kumar Bharti","MALE",54.0,"SC","LJP",3.0,11.0,310531.0,5607.0,190950.0,2.94,1609.0,0.84,61.49,0.0,4.0
24401,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Nota","None","","SC","NOTA",4.0,11.0,310531.0,3998.0,190950.0,2.09,168.0,0.09,61.49,0.0,4.0
24402,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Anil Kumar Bandhu","MALE",43.0,"SC","JAPL",5.0,11.0,310531.0,3830.0,190950.0,2.01,1476.0,0.77,61.49,0.0,4.0
24403,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Shivjee Ram","MALE",45.0,"SC","AMJNMTP",6.0,11.0,310531.0,2354.0,190950.0,1.23,62.0,0.03,61.49,0.0,4.0
24404,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Surendra Sharma","MALE",39.0,"SC","BLRP",7.0,11.0,310531.0,2292.0,190950.0,1.2,159.0,0.08,61.49,0.0,4.0
24405,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Triful Devi","FEMALE",44.0,"SC","JMBP",8.0,11.0,310531.0,2133.0,190950.0,1.12,416.0,0.22,61.49,0.0,4.0
24406,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Gulabchand Das","MALE",50.0,"SC","AMiP",9.0,11.0,310531.0,1717.0,190950.0,0.9,53.0,0.03,61.49,0.0,4.0
24407,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Ramdeo Ram","MALE",69.0,"SC","BSP",10.0,11.0,310531.0,1664.0,190950.0,0.87,1098.0,0.58,61.49,0.0,4.0
24408,"2020","11","Bihar","10",17.0,"Singheshwar","SC","Sanjay Sada","MALE",35.0,"SC","NCP",11.0,11.0,310531.0,566.0,190950.0,0.3,0.0,0.0,61.49,0.0,4.0
24409,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Sunil Kumar Alias Pintu","MALE",49.0,"GEN","BJP",1.0,8.0,224109.0,51664.0,118527.0,43.59,5221.0,4.4,52.89,0.0,4.0
24410,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Raghwendra Kumar Singh","MALE",41.0,"GEN","LJP",2.0,8.0,224109.0,46443.0,118527.0,39.18,38388.0,32.39,52.89,0.0,4.0
24411,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Amarnath Gupta","MALE",35.0,"GEN","BSP",3.0,8.0,224109.0,8055.0,118527.0,6.8,4185.0,3.53,52.89,0.0,4.0
24412,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Kumari Rupam","FEMALE",50.0,"GEN","INC",4.0,8.0,224109.0,3870.0,118527.0,3.27,212.0,0.18,52.89,0.0,4.0
24413,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Ganesh Prasad","MALE",45.0,"GEN","IND",5.0,8.0,224109.0,3658.0,118527.0,3.09,1519.0,1.28,52.89,0.0,4.0
24414,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Madhurendra Thakur","MALE",25.0,"GEN","RSP",6.0,8.0,224109.0,2139.0,118527.0,1.8,438.0,0.37,52.89,0.0,4.0
24415,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Madhup Kumar Singh","MALE",42.0,"GEN","NCP",7.0,8.0,224109.0,1701.0,118527.0,1.44,704.0,0.59,52.89,0.0,4.0
24416,"2010","11","Bihar","10",15.0,"Sitamarhi","GEN","Ratan Kumar","MALE",27.0,"GEN","SP",8.0,8.0,224109.0,997.0,118527.0,0.84,0.0,0.0,52.89,0.0,4.0
24417,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Sunil Kumar","MALE",39.0,"GEN","RJD",1.0,15.0,259355.0,81557.0,164358.0,49.62,14722.0,8.96,63.37,0.0,4.0
24418,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Sunil Kumar Alias Pintu","MALE",54.0,"GEN","BJP",2.0,15.0,259355.0,66835.0,164358.0,40.66,63211.0,38.46,63.37,0.0,4.0
24419,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Nagina Devi","FEMALE",56.0,"GEN","IND",3.0,15.0,259355.0,3624.0,164358.0,2.2,1388.0,0.84,63.37,0.0,4.0
24420,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Anup Mahto","MALE",51.0,"GEN","RSHJP",4.0,15.0,259355.0,2236.0,164358.0,1.36,177.0,0.11,63.37,0.0,4.0
24421,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Rakesh Kumar Tunna","MALE",40.0,"GEN","IND",5.0,15.0,259355.0,2059.0,164358.0,1.25,430.0,0.26,63.37,0.0,4.0
24422,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Nota","None","","GEN","NOTA",6.0,15.0,259355.0,1629.0,164358.0,0.99,670.0,0.41,63.37,0.0,4.0
24423,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Irshad Ahmad","MALE",38.0,"GEN","BSP",7.0,15.0,259355.0,959.0,164358.0,0.58,11.0,0.01,63.37,0.0,4.0
24424,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Shahin Parween","FEMALE",40.0,"GEN","IND",8.0,15.0,259355.0,948.0,164358.0,0.58,58.0,0.04,63.37,0.0,4.0
24425,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Chandrika Prasad","MALE",40.0,"GEN","IND",9.0,15.0,259355.0,890.0,164358.0,0.54,109.0,0.07,63.37,0.0,4.0
24426,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Eftekhar Afatab","MALE",51.0,"GEN","NCP",10.0,15.0,259355.0,781.0,164358.0,0.48,208.0,0.13,63.37,0.0,4.0
24427,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Umesh Paswan","MALE",45.0,"GEN","IND",11.0,15.0,259355.0,573.0,164358.0,0.35,23.0,0.01,63.37,0.0,4.0
24428,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Ram Kishore Rai","MALE",38.0,"GEN","SP",12.0,15.0,259355.0,550.0,164358.0,0.33,63.0,0.04,63.37,0.0,4.0
24429,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Umesh Kumar Singh","MALE",51.0,"GEN","SKLP",13.0,15.0,259355.0,487.0,164358.0,0.3,21.0,0.01,63.37,0.0,4.0
24430,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Vinod Sah","MALE",43.0,"GEN","HND",14.0,15.0,259355.0,466.0,164358.0,0.28,76.0,0.05,63.37,0.0,4.0
24431,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Ramesh Sah","MALE",53.0,"GEN","GJDS",15.0,15.0,259355.0,390.0,164358.0,0.24,16.0,0.01,63.37,0.0,4.0
24432,"2015","11","Bihar","10",16.0,"Sitamarhi","GEN","Ram Vinay Singh Kushwaha","MALE",61.0,"GEN","BMUP",16.0,15.0,259355.0,374.0,164358.0,0.23,0.0,0.0,63.37,0.0,4.0
24433,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Mithilesh Kumar","MALE",46.0,"GEN","BJP",1.0,13.0,292345.0,90236.0,180842.0,49.9,11475.0,6.35,61.86,0.0,4.0
24434,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Sunil Kumar","MALE",42.0,"GEN","RJD",2.0,13.0,292345.0,78761.0,180842.0,43.55,75782.0,41.91,61.86,0.0,4.0
24435,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Nota","None","","GEN","NOTA",3.0,13.0,292345.0,2979.0,180842.0,1.65,944.0,0.52,61.86,0.0,4.0
24436,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Rakesh Kumar Tunna","MALE",43.0,"GEN","BSP",4.0,13.0,292345.0,2035.0,180842.0,1.13,664.0,0.37,61.86,0.0,4.0
24437,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Krishna Kishore","MALE",35.0,"GEN","IND",5.0,13.0,292345.0,1371.0,180842.0,0.76,406.0,0.22,61.86,0.0,4.0
24438,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Aftab Anjum","MALE",38.0,"GEN","SWARAJ",6.0,13.0,292345.0,965.0,180842.0,0.53,51.0,0.03,61.86,0.0,4.0
24439,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Vinod Sah","MALE",48.0,"GEN","RJBP",7.0,13.0,292345.0,914.0,180842.0,0.51,142.0,0.08,61.86,0.0,4.0
24440,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Srinivas Kumar","MALE",34.0,"GEN","BHRTSBLP",8.0,13.0,292345.0,772.0,180842.0,0.43,69.0,0.04,61.86,0.0,4.0
24441,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Raju Kumar","MALE",34.0,"GEN","IND",9.0,13.0,292345.0,703.0,180842.0,0.39,7.0,0.0,61.86,0.0,4.0
24442,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Manoj Kumar","MALE",35.0,"GEN","JDR",10.0,13.0,292345.0,696.0,180842.0,0.38,119.0,0.07,61.86,0.0,4.0
24443,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Sitaram Singh","MALE",72.0,"GEN","PBI",11.0,13.0,292345.0,577.0,180842.0,0.32,152.0,0.08,61.86,0.0,4.0
24444,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Kumar Abhimanyu Srivastava","MALE",45.0,"GEN","SAP",12.0,13.0,292345.0,425.0,180842.0,0.24,17.0,0.01,61.86,0.0,4.0
24445,"2020","11","Bihar","10",17.0,"Sitamarhi","GEN","Shailendra Prasad Yadav","MALE",29.0,"GEN","BMUP",13.0,13.0,292345.0,408.0,180842.0,0.23,0.0,0.0,61.86,0.0,4.0
24446,"2010","11","Bihar","10",15.0,"Siwan","GEN","Vyasdeo Prasad","MALE",65.0,"GEN","BJP",1.0,24.0,227240.0,51637.0,116821.0,44.2,12541.0,10.74,51.41,0.0,4.0
24447,"2010","11","Bihar","10",15.0,"Siwan","GEN","Awadhvihari Chaudhry","MALE",56.0,"GEN","RJD",2.0,24.0,227240.0,39096.0,116821.0,33.47,35045.0,30.0,51.41,0.0,4.0
24448,"2010","11","Bihar","10",15.0,"Siwan","GEN","Naimuddin Ansari","MALE",37.0,"GEN","CPI(ML)(L)",3.0,24.0,227240.0,4051.0,116821.0,3.47,660.0,0.56,51.41,0.0,4.0
24449,"2010","11","Bihar","10",15.0,"Siwan","GEN","Shahid Hussain","MALE",67.0,"GEN","BSP",4.0,24.0,227240.0,3391.0,116821.0,2.9,1173.0,1.0,51.41,0.0,4.0
24450,"2010","11","Bihar","10",15.0,"Siwan","GEN","Bhim Prasad Yadav","MALE",40.0,"GEN","IND",5.0,24.0,227240.0,2218.0,116821.0,1.9,570.0,0.49,51.41,0.0,4.0
24451,"2010","11","Bihar","10",15.0,"Siwan","GEN","Abdul Rijavan Ansari","MALE",33.0,"GEN","IND",6.0,24.0,227240.0,1648.0,116821.0,1.41,254.0,0.22,51.41,0.0,4.0
24452,"2010","11","Bihar","10",15.0,"Siwan","GEN","Abhishek Kumar","MALE",30.0,"GEN","IND",7.0,24.0,227240.0,1394.0,116821.0,1.19,18.0,0.02,51.41,0.0,4.0
24453,"2010","11","Bihar","10",15.0,"Siwan","GEN","Naresh Chand Yadav","MALE",36.0,"GEN","IND",8.0,24.0,227240.0,1376.0,116821.0,1.18,108.0,0.09,51.41,0.0,4.0
24454,"2010","11","Bihar","10",15.0,"Siwan","GEN","Jaleshwar Bhagat","MALE",35.0,"GEN","IND",9.0,24.0,227240.0,1268.0,116821.0,1.09,86.0,0.07,51.41,0.0,4.0
24455,"2010","11","Bihar","10",15.0,"Siwan","GEN","Vishwkarma Prasad Chauhan","MALE",52.0,"GEN","ABHM",10.0,24.0,227240.0,1182.0,116821.0,1.01,49.0,0.04,51.41,0.0,4.0
24456,"2010","11","Bihar","10",15.0,"Siwan","GEN","Dilip Kumar","MALE",30.0,"GEN","IND",11.0,24.0,227240.0,1133.0,116821.0,0.97,7.0,0.01,51.41,0.0,4.0
24457,"2010","11","Bihar","10",15.0,"Siwan","GEN","Shreekant Jee","MALE",30.0,"GEN","INC",12.0,24.0,227240.0,1126.0,116821.0,0.96,192.0,0.16,51.41,0.0,4.0
24458,"2010","11","Bihar","10",15.0,"Siwan","GEN","Safirul Haque","MALE",26.0,"GEN","IND",13.0,24.0,227240.0,934.0,116821.0,0.8,29.0,0.02,51.41,0.0,4.0
24459,"2010","11","Bihar","10",15.0,"Siwan","GEN","Ajay Kumar","MALE",28.0,"GEN","IND",14.0,24.0,227240.0,905.0,116821.0,0.77,36.0,0.03,51.41,0.0,4.0
