"id","year","month","state_name","state_code","assembly_no","ac_name","ac_type","candidate_name","sex","age","candidate_type","party","position","ac_total_candidates","total_electors","total_votes","total_valid_votes","vote_share_percentage","margin","margin_percentage","turnout_percentage","poll_no","delimit_id"
130,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","Nota","None","","None","NOTA",6.0,12.0,240234.0,1519.0,157298.0,0.97,705.0,0.45,65.48,0.0,4.0
131,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","I. Ram Mohan Goud","MALE",49.0,"GEN","IND",7.0,12.0,240234.0,814.0,157298.0,0.52,476.0,0.3,65.48,0.0,4.0
132,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","Faiyaz Basha Amlivale","MALE",34.0,"GEN","IND",8.0,12.0,240234.0,338.0,157298.0,0.21,85.0,0.05,65.48,0.0,4.0
133,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","A. Noor Ahmed","MALE",42.0,"GEN","IND",9.0,12.0,240234.0,253.0,157298.0,0.16,51.0,0.03,65.48,0.0,4.0
134,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","M.D. Farooq Hussain","MALE",35.0,"GEN","IND",10.0,12.0,240234.0,202.0,157298.0,0.13,5.0,0.0,65.48,0.0,4.0
135,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","K. Narendra Yadav","MALE",35.0,"GEN","IND",11.0,12.0,240234.0,197.0,157298.0,0.13,24.0,0.02,65.48,0.0,4.0
136,"2019","4","Andhra Pradesh","28",15.0,"Adoni","GEN","G.T.S. Prasad Yadav","MALE",29.0,"GEN","IND",12.0,12.0,240234.0,173.0,157298.0,0.11,0.0,0.0,65.48,0.0,4.0
137,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Budida Bikshmaiah","MALE",38.0,"GEN","INC",1.0,18.0,225352.0,66905.0,168882.0,39.62,12902.0,7.64,74.94,0.0,4.0
138,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Kallem Yadagiri Reddy","MALE",66.0,"GEN","TRS",2.0,18.0,225352.0,54003.0,168882.0,31.98,37344.0,22.11,74.94,0.0,4.0
139,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Bandru Shobha Rani","FEMALE",36.0,"GEN","PRAP",3.0,18.0,225352.0,16659.0,168882.0,9.86,10789.0,6.39,74.94,0.0,4.0
140,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Kududula Nagesh","MALE",48.0,"SC","BSP",4.0,18.0,225352.0,5870.0,168882.0,3.48,206.0,0.12,74.94,0.0,4.0
141,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Dr.Kasam Venkateshwarlu","MALE",36.0,"GEN","BJP",5.0,18.0,225352.0,5664.0,168882.0,3.35,1895.0,1.12,74.94,0.0,4.0
142,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Chelmala Chandra Reddy","MALE",53.0,"GEN","IJP",6.0,18.0,225352.0,3769.0,168882.0,2.23,1380.0,0.82,74.94,0.0,4.0
143,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Rachakonda Sitha","FEMALE",37.0,"GEN","IND",7.0,18.0,225352.0,2389.0,168882.0,1.41,290.0,0.17,74.94,0.0,4.0
144,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Subburu Ramesh","MALE",31.0,"GEN","LSP",8.0,18.0,225352.0,2099.0,168882.0,1.24,88.0,0.05,74.94,0.0,4.0
145,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Ramchandra Reddy Gujjula","MALE",26.0,"GEN","IND",9.0,18.0,225352.0,2011.0,168882.0,1.19,55.0,0.03,74.94,0.0,4.0
146,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","T.Prathap Singh","MALE",40.0,"GEN","IND",10.0,18.0,225352.0,1956.0,168882.0,1.16,687.0,0.41,74.94,0.0,4.0
147,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Donthiri Sridhar Reddy","MALE",31.0,"GEN","IND",11.0,18.0,225352.0,1269.0,168882.0,0.75,25.0,0.01,74.94,0.0,4.0
148,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Vangapally Srinivas","MALE",34.0,"SC","TPPP",12.0,18.0,225352.0,1244.0,168882.0,0.74,66.0,0.04,74.94,0.0,4.0
